ICM_ID,max_annual_stage,ave_annual_stage,ave_stage_summer,var_stage_summer,ave_annual_salinity,ave_salinity_summer,sal_2wk_max,ave_tmp,ave_tmp_summer,openwater_sed_accum,marsh_int_sed_accum,marsh_edge_sed_accum,tidal_prism_ave,ave_sepmar_stage,ave_octapr_stage,marsh_edge_erosion_rate,ave_annual_tss,stdev_annual_tss,totalland_m2
717.0000,0.2148,0.1083,0.1614,0.0006,3.2801,1.5432,9.1425,19.8870,25.3232,4881.9771,0.0000,0.0000,23476532.0000,0.0671,0.0550,0.0000,53.9568,23.7771,0.0000
718.0000,0.2136,0.1080,0.1631,0.0004,5.0547,1.6394,11.5515,21.0816,25.4605,39.5235,0.1884,0.0130,12990202.0000,0.0664,0.0535,1.0087,29.4573,11.8265,15046908.0000
719.0000,0.2025,0.0957,0.1465,0.0007,2.3845,1.9404,9.2925,19.0658,24.9840,4.9576,0.0000,0.0000,37002996.0000,0.0550,0.0484,0.0000,69.2268,35.1180,0.0000
720.0000,0.2044,0.0960,0.1464,0.0008,1.6597,1.9419,7.5409,18.3996,25.1571,14629.3604,0.0000,0.0000,20576450.0000,0.0554,0.0491,0.0000,86.5245,50.1769,0.0000
721.0000,0.1745,0.0798,0.1286,0.0006,25.2750,23.3677,31.9955,20.3576,21.5423,40.8779,0.0000,0.0000,178332880.0000,0.0419,0.0385,0.0000,6.2580,4.5190,0.0000
722.0000,0.1881,0.0818,0.1286,0.0008,9.0207,5.9270,16.9020,19.8449,23.7655,6592.7329,0.0000,0.0000,46180848.0000,0.0437,0.0414,0.0000,31.2174,14.5189,0.0000
723.0000,0.2676,0.1358,0.1884,0.0008,3.1462,0.8471,8.2692,21.6151,27.5513,428.4634,0.0000,0.0000,1502042.1250,0.0953,0.0725,0.0000,14.0120,6.5950,37343191.0000
724.0000,0.2150,0.1084,0.1624,0.0005,4.4954,1.9716,11.5082,20.4072,25.2541,55.8112,332.9733,131.9537,13226390.0000,0.0670,0.0545,1.1393,44.2861,18.6512,2708908.0000
725.0000,0.2147,0.1081,0.1613,0.0006,3.5646,1.6923,9.7465,19.9663,25.0852,359.1660,24.4652,4.9799,17124208.0000,0.0668,0.0548,3.4669,49.9435,21.1552,11925892.0000
726.0000,0.1901,0.0834,0.1307,0.0008,6.6285,4.5711,14.7791,19.4535,24.2023,4164.3569,0.0000,0.0000,77947400.0000,0.0448,0.0421,0.0000,45.6519,22.8851,0.0000
727.0000,0.2131,0.1079,0.1628,0.0004,5.6571,2.1765,12.7615,20.9067,24.8704,9.9704,13.4755,0.5385,14643956.0000,0.0663,0.0535,2.4477,30.0230,12.7902,914368.0000
728.0000,0.2252,0.1184,0.1726,0.0005,3.5466,1.0941,8.7532,21.0000,26.2447,848.3895,0.0000,0.0000,1313273.5000,0.0767,0.0608,0.0000,20.0946,7.6866,15010923.0000
729.0000,0.2148,0.1082,0.1623,0.0005,4.7440,2.1427,11.9965,20.4333,25.0640,223.8863,77.2718,18.8932,10640388.0000,0.0667,0.0543,3.9495,42.1743,18.1197,12789396.0000
730.0000,0.1879,0.0848,0.1356,0.0006,8.2177,10.0224,27.4723,19.3372,23.6147,5149.6670,0.0000,0.0000,189511728.0000,0.0448,0.0410,5.1624,42.3051,24.8506,0.0000
731.0000,0.1599,0.0801,0.1326,0.0003,32.1218,32.6783,33.2053,20.2373,20.3732,-0.0265,0.0000,0.0000,423389760.0000,0.0420,0.0360,0.0000,0.0707,1.3505,0.0000
732.0000,0.2233,0.1159,0.1703,0.0005,4.3959,1.3430,10.4865,21.2764,26.0901,768.8674,37.9321,0.0216,1909014.8750,0.0741,0.0590,0.0000,20.5462,8.1292,32699765.0000
733.0000,0.2134,0.1079,0.1629,0.0004,5.5790,1.8293,12.4784,21.2040,25.2186,46.5174,46.5305,2.8831,2005259.6250,0.0664,0.0535,1.0145,26.8886,10.8999,7302095.0000
734.0000,0.2134,0.1078,0.1629,0.0004,5.6160,1.8613,12.5622,21.1820,25.1613,41.2830,0.0000,0.0000,21414432.0000,0.0661,0.0533,0.0000,27.1081,11.3031,0.0000
735.0000,0.1873,0.0848,0.1357,0.0006,8.4317,10.6941,28.6239,19.4435,23.4478,237.6982,309.6362,424.4057,15806319.0000,0.0449,0.0410,3.5565,39.2396,22.1355,31190728.0000
736.0000,0.2434,0.1204,0.1717,0.0006,5.9660,2.8506,12.7310,21.3091,26.6689,1039.2583,2.1009,0.0029,4964748.5000,0.0808,0.0627,0.9067,25.3235,11.5193,63721504.0000
737.0000,0.2116,0.1072,0.1622,0.0004,6.6648,2.9015,14.5873,20.8338,24.0461,1722.5844,96.7855,1.3429,22664244.0000,0.0657,0.0530,4.5127,24.9525,11.9987,12328448.0000
738.0000,0.2537,0.1353,0.1900,0.0011,1.3325,0.6433,3.9058,19.3835,26.2975,25291.3066,0.0000,0.0000,480596.3750,0.0908,0.0725,0.0000,15.8095,7.0915,0.0000
739.0000,0.1748,0.0801,0.1284,0.0006,30.3871,29.4228,32.8954,20.2854,20.7588,1.9057,0.0000,0.0000,315090240.0000,0.0423,0.0388,0.0000,1.7668,1.1365,0.0000
740.0000,0.2266,0.1204,0.1746,0.0006,1.9402,0.8436,5.2758,20.4507,26.4009,2847.7205,0.2107,22695.0156,466398.5000,0.0785,0.0621,0.0000,15.0112,5.6158,2068382.0000
741.0000,0.1875,0.0807,0.1270,0.0008,23.6398,19.6060,29.1459,20.1936,22.0022,244.7270,0.0000,0.0000,363143744.0000,0.0427,0.0407,0.0000,12.8925,5.9112,0.0000
742.0000,0.2372,0.1192,0.1707,0.0005,6.1205,2.3926,13.3206,21.3348,25.8726,894.9792,2.6897,0.0031,1847681.2500,0.0798,0.0618,0.8077,21.5290,10.4304,34059434.0000
743.0000,0.2262,0.1205,0.1748,0.0005,2.1123,0.9931,5.7006,21.3177,26.8301,403.9395,0.0680,0.0001,895924.0625,0.0787,0.0621,0.0000,12.1518,4.4693,14164095.2500
744.0000,0.1743,0.0815,0.1421,0.0003,13.6163,14.7960,30.7121,20.2063,22.4867,108.2365,4.1209,4.4353,14144112.0000,0.0394,0.0326,1.7570,16.8124,11.0582,20504210.0000
745.0000,0.4152,0.1932,0.2697,0.0052,0.2012,0.1204,0.4879,22.7026,28.8307,69.5859,0.0000,0.0000,585058.8750,0.1385,0.1019,0.0000,2.5570,2.1197,30971963.7500
746.0000,0.2132,0.1078,0.1628,0.0004,6.2365,2.2674,13.5834,21.1071,24.5797,163.4404,2.0669,0.0475,24410520.0000,0.0663,0.0534,1.3398,25.0825,10.9814,15067848.0000
747.0000,0.3202,0.1095,0.1638,0.0004,4.4258,1.5827,9.9263,21.4514,25.8889,77.5393,0.0142,0.0005,16181766.0000,0.0684,0.0548,1.2213,20.8360,7.6205,44473304.0000
748.0000,0.5080,0.2888,0.3588,0.0111,0.2381,0.2087,0.2102,18.1822,26.2890,12270.8516,34.8873,14.4828,963521.3750,0.2252,0.1722,0.0000,7.1007,2.7555,59995278.0000
749.0000,0.1781,0.0809,0.1430,0.0004,13.7746,11.9355,26.7062,20.3528,21.9364,453.8079,3.1048,0.2869,10089750.0000,0.0384,0.0312,2.9019,12.3502,7.7064,33544178.0000
750.0000,0.4124,0.1832,0.2619,0.0052,0.2174,0.1334,0.9000,22.6251,28.2666,149.5105,0.0000,0.0000,489063.6875,0.1280,0.0943,0.0000,5.1816,2.1125,27148723.0000
751.0000,0.2259,0.1202,0.1744,0.0005,2.6216,1.5071,6.7562,21.6388,26.8124,1081.2471,0.0000,0.0000,820164.3750,0.0785,0.0619,0.0000,12.6202,4.5300,16898679.0000
752.0000,0.1876,0.0936,0.1527,0.0003,9.2617,5.8281,19.5555,20.5172,22.5092,2181.6772,0.2931,0.0018,11924888.0000,0.0518,0.0412,2.0318,17.1301,9.6320,10259182.0000
753.0000,0.4736,0.2133,0.2779,0.0059,0.1749,0.1467,0.2503,22.8006,28.6367,59.8739,1.1388,0.0000,571426.0000,0.1645,0.1193,0.0000,2.1188,0.9715,44782764.5000
754.0000,0.4125,0.1906,0.2683,0.0047,0.2792,0.2025,0.3396,22.6416,28.3007,143.5010,0.2006,0.0000,551544.8125,0.1351,0.0996,0.0000,4.9919,2.1471,18660824.5000
755.0000,0.3967,0.1771,0.2608,0.0050,0.4657,0.2294,1.7422,22.8305,28.6927,716.8732,0.0000,0.0000,910760.6250,0.1194,0.0880,0.5004,11.0013,4.1534,44359354.5000
756.0000,0.4500,0.2063,0.2767,0.0057,0.2927,0.1678,0.6689,22.7211,29.2529,89.3078,1.4671,0.0000,752553.0625,0.1541,0.1123,0.0000,3.2544,2.1173,48166235.5000
757.0000,0.1811,0.0805,0.1319,0.0005,20.7796,21.5979,35.9431,19.8114,21.4871,1404.9048,0.0000,0.0000,393083744.0000,0.0407,0.0377,0.0000,14.0794,8.9564,0.0000
758.0000,0.2280,0.1208,0.1752,0.0006,5.1243,3.6065,10.2758,21.8236,27.0119,789.5894,0.0000,0.0000,1071730.3750,0.0792,0.0622,0.0000,10.8563,4.3559,23805634.0000
759.0000,0.3661,0.1572,0.2299,0.0036,3.1968,1.7420,7.7715,22.4481,28.6676,152.3137,0.0000,0.0000,375053.7188,0.1035,0.0804,0.0000,5.1285,2.3143,26468490.0000
760.0000,0.2436,0.1277,0.1805,0.0007,6.1082,4.7972,13.7543,22.3044,28.0698,563.0905,0.0000,0.0000,1246853.7500,0.0874,0.0671,0.8478,6.2293,2.5579,80535569.5000
761.0000,0.3965,0.2004,0.2571,0.0023,0.1981,0.1931,0.2200,22.7391,29.4258,52.6189,2.5055,0.0000,972447.9375,0.1579,0.1132,0.0000,1.9067,1.5456,33891696.0000
762.0000,0.3945,0.1929,0.2692,0.0042,0.4681,0.3693,0.6089,23.0199,28.8065,202.5733,13.7593,2.2245,1924688.5000,0.1376,0.1006,1.2111,19.2111,6.9568,31381350.0000
763.0000,0.3944,0.1928,0.2692,0.0042,0.4858,0.3696,0.6093,23.0195,28.8040,538.7179,11.4713,2.2312,3439867.0000,0.1374,0.1006,0.8192,18.8654,7.1828,44517550.0000
764.0000,0.2338,0.1216,0.1775,0.0006,7.1486,6.0936,16.2968,22.2995,27.9066,173.3974,0.0000,0.0000,1910890.8750,0.0796,0.0620,0.0000,5.4685,2.4782,31725071.0000
